css-9pu1vy-StyledUserLinkAvatar href,css-11j0z2t-ImgAvatar src,css-1uxwbtk-SpanUserNameText,css-z35s28-PCommentText,css-ckdg7w-SpanCreatedTime,css-1fhml0h-SpanCount,,,,,,,,,,,
https://www.tiktok.com/@pggilsjei_,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e034eef20ad6986f737ec2698bb38066~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c99420df&x-expires=1755824400&x-signature=SaVlHETMmi7d%2FYMWUer%2FPZ9vcgU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Ig:m4k_d4t1t1🚀,lahh gw harga 28.000 ongkir 71.500 💀🔥,12-May,1,,,,,,,,,,,
https://www.tiktok.com/@danzzskyy_76,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/73df9019f999ab7da872a4bc270cbcef~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8c9e830a&x-expires=1755824400&x-signature=QgP0Vj%2BjCwdVeqkAEKdHE8KzUw0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,dannsky,katanya 30 di aku ko 18,3-Feb,13,,,,,,,,,,,
https://www.tiktok.com/@jiwakamu00,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/1640b95c083c95a9775455898d76ae0e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=687cacd3&x-expires=1755824400&x-signature=JOwj8UvTISKYD1aFA06bmbK8LuU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,penjahat,cara masak ya gi mana 😅,9/21/2024,12,,,,,,,,,,,
https://www.tiktok.com/@mohmasum01,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8fd8a27d776385fa7b285dddd2b1d266~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=aaced411&x-expires=1755824400&x-signature=rS9fjsK46Z2wd5rrsUxdDpjWh%2B0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Pak Maksum,Aku 30ribu kok😳😳😳,17 j yang lalu,0,,,,,,,,,,,
https://www.tiktok.com/@aini_aja_.w,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/3631788ec3e6a438eac8923bd9210748~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6dd228b6&x-expires=1755824400&x-signature=8svnL4HVFIYhwFFJ%2Be42MYXIErU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,🫥,kalau aku beli di Deket rumah ku cuma 5 rebuu cyy,28-Jan,2,,,,,,,,,,,
https://www.tiktok.com/@abianmarkisah,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/94df49ae5fd04db6a01f750d64a61ed1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=b590c9e0&x-expires=1755824400&x-signature=%2FMu%2B8go4z48OZVaKmpb0i%2B4y2yI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,liaa🥰,aku 43 rb sama ongkir ke Aceh. tpi tetap aku co,10/4/2024,17,,,,,,,,,,,
https://www.tiktok.com/@tamafta,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d9bc0583e12a77ba5e721c55943f6fd8~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a8ea593a&x-expires=1755824400&x-signature=wFn%2BwRAI9BRAZrezc9xZFsC3FUI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,TAMA~FTA√,hello 😁,11/11/2024,2,,,,,,,,,,,
https://www.tiktok.com/@aku.suka.kamub,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/364c798f42c9fa55b1d7376ded9d21d6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=dfc5ed10&x-expires=1755824400&x-signature=r2V%2FJwBgmrjycss74QwAawjIpGw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Queena🌷🌺,kok di aku 27ribu sih,27-May,3,,,,,,,,,,,
https://www.tiktok.com/@juandi1839,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/4044b77888e3227209c316fdf694e3e9~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e25e0d83&x-expires=1755824400&x-signature=nSSVaXbv72h43yTwypCg3kjDBz4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,juandi,ak dapat 1k,10/10/2024,6,,,,,,,,,,,
https://www.tiktok.com/@talaa_tsp,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ceaa7b21b2b2c40e02c594787039d3a4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=b4f01de4&x-expires=1755824400&x-signature=%2BnyF%2FlCqeoIhLKGUY%2FTmIU%2FtyBE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Vale_toktok,aku dapet 24 ribu kakk,11/8/2024,57,,,,,,,,,,,
https://www.tiktok.com/@carpscor,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ef4bcc926662393a372f2b720e7914bd~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4b4cc87b&x-expires=1755824400&x-signature=MV8q%2BMKGQ8YV8E3wbn30QtGOVe8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,🍉🌼,di aku 32.250 tp ongkirnya 36rb😭,9/12/2024,196,,,,,,,,,,,
https://www.tiktok.com/@anakmanusia5756,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1dbffb221dd15671966bf428f52c0196~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1315e489&x-expires=1755824400&x-signature=KmQzERlKLGO4QvNKo13D4UDMzL4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,𝙇𝙪𝙤 𝙕𝙝𝙞𝙝𝙖𝙤,gatau tiktok lite soalnya,10/15/2024,11,,,,,,,,,,,
https://www.tiktok.com/@ledis_8722,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/564054fb757a4d1633a3a37bca678e01~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ffb85c55&x-expires=1755824400&x-signature=NRnxroZ6%2BQjxRO9YZ8OyrIlcrKI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,*cewe|ledis/*,di aku 28 kak 😭,2-Feb,18,,,,,,,,,,,
https://www.tiktok.com/@secraazh,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/10f2924e4d1e2543d138c99e642aed17~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2f814acd&x-expires=1755824400&x-signature=DvmMydKCXlFTkqHjz8Oi%2F8SPoUo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,mboh_sopo,Sini aku back semua,12/30/2024,2,,,,,,,,,,,
https://www.tiktok.com/@anakoranglahh_,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4877fdb89092cd42e9a9a90967a65330~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=797e6c6a&x-expires=1755824400&x-signature=Qb8VG4Z1nr3ciWFwUrVD1izRhcs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,gatauu anaknya orangg,kok cuma 28 lohh kakk,10-Feb,80,,,,,,,,,,,
https://www.tiktok.com/@merahkuninghijau_2,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/04895789fa8a1471e542979d40d1fa2f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a96c4261&x-expires=1755824400&x-signature=FeA620pwcDIpQCwheQvum3LpnE4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,my sunshine,di aku 32 ongkir 16,9/25/2024,11,,,,,,,,,,,
https://www.tiktok.com/@oioi_baaka,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/77533c8b60e1dc870075f098a79c7e19~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=25fc53d1&x-expires=1755824400&x-signature=Tsi5H8dE0CIbqePlllTe6g457wc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Zynn??,Saya Cuman 1 Perak😁,9/30/2024,4,,,,,,,,,,,
https://www.tiktok.com/@_losneliest_,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/00cb6096d5aa0e6219a815a12fd6f814~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=5ee64658&x-expires=1755824400&x-signature=yookj1Fnmc95Sf0L8TgPOuKZrLE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,losneliest,"moots aku plss,on tiap hariiii!!",6-Jan,2,,,,,,,,,,,
https://www.tiktok.com/@yoguys771,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/8e63dd342c53aabc55620dd24dc6c4c5~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=607e2803&x-expires=1755824400&x-signature=%2Bi5JrRKe5yQr9s4sfGzCwxEc6UU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,yoyoyo,ga pernah dapat murah,9/11/2024,21,,,,,,,,,,,
https://www.tiktok.com/@zyx_farizkaaa,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d6c194487ec7ba7d61d0d16f9a7a5241~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=38146009&x-expires=1755824400&x-signature=AfPsIGdu5%2BOKeH0K0SojeBAD4rI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,1️⃣2️⃣,murah banget sumpah di ak cuman 18 ribu dapet 12 bungkus geratis ongkir lagi,12/27/2024,0,,,,,,,,,,,
https://www.tiktok.com/@tarii_nc,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0cb6aca708be3d8535b2d785571960f2~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=efa92325&x-expires=1755824400&x-signature=Q6YESnq4Si1JuiwiQJ5chDhcDWU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,t4ribbyluv_,ongkirnya mhall teh,10/15/2024,7,,,,,,,,,,,
https://www.tiktok.com/@jesterdream2,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e3a508bd055954634d238fb72bb0800f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=cea485bb&x-expires=1755824400&x-signature=J4kLzdI5jqceakOCbbhjMXwzYW8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,hafiz,di aku 45000,9/11/2024,9,,,,,,,,,,,
https://www.tiktok.com/@arvelia.amanda,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c626ef4c85ae2303b19a94fa2be6ba70~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=007ec9d1&x-expires=1755824400&x-signature=jGhWZBLAgCyX4%2BEdRC0Zb%2FSWuNo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,arvelia amanda,aku dapat 27.000,3-Mar,5,,,,,,,,,,,
https://www.tiktok.com/@uwie_febian,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/358740df05d1ecae01ae6e72559fd591~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6d667530&x-expires=1755824400&x-signature=uBWAGHvt%2BOOu4legoWxWt535q88%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,ᵂⁱᵉ ..Feb,20rb,9/10/2024,3,,,,,,,,,,,
https://www.tiktok.com/@mlnibos473,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b12aa04cbe967df8d34d100aba350905~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=47198359&x-expires=1755824400&x-signature=JWisVyVdKfUj6Tb%2FnvNSsHzrtTU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,ml ni bos,10,9/25/2024,7,,,,,,,,,,,
https://www.tiktok.com/@rger18_,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-aiso/42325f3b6a37b8b71d4e3858f39dee2b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=498e9c7d&x-expires=1755824400&x-signature=8Y%2FY8d4z9kQD2E5H2pLTaPNcuFE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,C&tfashion,33 rbu udh grts ongkir😭,9/28/2024,2,,,,,,,,,,,
https://www.tiktok.com/@just.tanin,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/5e83b283a48f350e3db9bc017cf1cc7f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=18759dbb&x-expires=1755824400&x-signature=bZH1ndj08K2dHVnfRoqUyRv2oNM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,notfound.,ini cuman tepung atau ada daging nya ya,10/9/2024,5,,,,,,,,,,,
https://www.tiktok.com/@not7my2style10,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c62dfd5ba3ccbd4c740551c48fb699da~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c26f4b91&x-expires=1755824400&x-signature=eGBf6G%2ByLiUhs3UK3dMfZ8ZstSU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,ntannzz🙇‍♀️,29.500 ak dapet segitu si,19-Jan,1,,,,,,,,,,,
https://www.tiktok.com/@addian_123a,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e3cc10cfa3c190f75451e109cafb8648~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f63c76fe&x-expires=1755824400&x-signature=Ym%2FENriIGjCJbmX2DTZsO1JkO6I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,addian_1,aku dapet 20 ribu tapi gak boleh pesen gara gara aku bocil,10/4/2024,2,,,,,,,,,,,
https://www.tiktok.com/@_happy.girls95,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c19719eaa8c0eaf1d652978f0038581d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=603ca974&x-expires=1755824400&x-signature=lfMC2sX9guANLI%2Fe7uMMeer1WS8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Happy_girl,33rb udah sma ongkir😭,10/4/2024,3,,,,,,,,,,,
https://www.tiktok.com/@ceciiputrii1,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/682d9f21e23539438e779a57c20d5ac1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4acef845&x-expires=1755824400&x-signature=BakTCvZAHqXXywSQcGoiwrEHZa0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,"Hi , ini chelsiie 🧚",klo di simpan di suhu ruangan tahan brp lama ya kak,11/11/2024,3,,,,,,,,,,,
https://www.tiktok.com/@akunnkedualyiaa22,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f5027b0eee7e0cd89c7d4fcaf3407316~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2a93b276&x-expires=1755824400&x-signature=Km2R87aYB10DP2IG%2Bd5Ub9JZ4q8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,basyyy,ini bener aku 18 dpt 12 apa 1 bungkus,11/11/2024,219,,,,,,,,,,,
https://www.tiktok.com/@win_aja00,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/3395517225a06bd3e0234abfb693ad7d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8854b323&x-expires=1755824400&x-signature=2p0chfb3vehBZJcGh%2BwpSMXI7tI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Maria Winny900,di aku 45😭,10/2/2024,4,,,,,,,,,,,
https://www.tiktok.com/@fa_dela_20,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b5b9cee8c28431ab9a0fff4a82a15d72~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=30154749&x-expires=1755824400&x-signature=zQm2zYXlSCJZQ7jaSy5qWV%2BE5KA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Fadelapunyawisnu 💐,di aku 27,31-Jul,0,,,,,,,,,,,
https://www.tiktok.com/@nathalia.karolis,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/710ba5373de850faed0ddbab9d5b1f5e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d0706ac1&x-expires=1755824400&x-signature=6chWheXp2Y8Icbr2cURzHhcE3Q0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,NATALYA T,aku dapat 26.250 baru gratis ongkir lagi,10/7/2024,3,,,,,,,,,,,
https://www.tiktok.com/@hy.cytaa__,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/1728ca7821dc81b95dc7fb003b78f86d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f8bf6a95&x-expires=1755824400&x-signature=Z95LBXqxpgkMI5yQN4kteUXc0wo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,ㅤČytαα,"aku pngn co 2 paket , ngeri bngt liat ongkir nya masa jadi 120rb, lngsung Gajadi pesen 🙂",10/15/2024,3,,,,,,,,,,,
https://www.tiktok.com/@tante.fa,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c7f0159b08b83291b3e3a904f9539b78~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1a788c3e&x-expires=1755824400&x-signature=uHEfEM0Nbv52BLS347aTrs9BwFc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,..,katanya 30 ribu kok di aku 14 ribu kak,27-Jan,7,,,,,,,,,,,
https://www.tiktok.com/@tiramisuuuu909,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a8a54f79672b0dfa61a1e24a375bb711~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=fe518b2d&x-expires=1755824400&x-signature=fpMteChTq4GQzA2a7UlU1Y1%2BOSk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Rin_khrns,"Aku pernah beli, rasanya aneh… kaya bau apek gitu bumbu nya atau kerupuk2 nya yg bau 😭🙏🏻",27-Jun,1,,,,,,,,,,,
https://www.tiktok.com/@likahandayani42,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ec6e0be4d0313cd86a2e5e72474101c3~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0bd1d9b2&x-expires=1755824400&x-signature=KcwVYSodfT%2F3blA37EDe6zLHv5o%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,llll,aku dapat 5000,10/20/2024,3,,,,,,,,,,,
https://www.tiktok.com/@depressed99,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/046f0c963aa60e120899f3e424dd0091~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4b1165c9&x-expires=1755824400&x-signature=n4AJBB99lm%2BrQqQWikt4Htn3Nyo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Iqbal,murah banget cuma Rp 15000,12/7/2024,2,,,,,,,,,,,
https://www.tiktok.com/@dika.putra480,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/444fb1ffbac9fefc0eb872a0333cd565~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=fc809616&x-expires=1755824400&x-signature=%2F8WHF6GnRdZBQ4NGzMoSf6blYGc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,PP SDM TINGGI,aku dapet 12k sumpah,12/16/2024,2,,,,,,,,,,,
https://www.tiktok.com/@shu0ou,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8478213b4c0ae5b62f392e8ffb714b75~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=5aea187e&x-expires=1755824400&x-signature=0wBOyx%2BmGEl6FWbsPuMTlm5wvTI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,─ˊandrea𓏲🐚,di aku 18k,10/21/2024,3,,,,,,,,,,,
https://www.tiktok.com/@ze.ailvy,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/3849540a1c132c597e774abaefa00b7c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=54450759&x-expires=1755824400&x-signature=P3I1x8VLcZpaW69j4XNvUPveJrc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,aii٭,lohh²akuu malah dapett 13k😋,10/11/2024,3,,,,,,,,,,,
https://www.tiktok.com/@.lluvv_niaa,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7e55d19aac6badebacbf602356800ff6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=15b709aa&x-expires=1755824400&x-signature=RiHP7aWgGFS5mJHFifxtH75KH1Y%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,niarorrr💤💤,aku dapet 18k 😳😳,11/3/2024,3,,,,,,,,,,,
https://www.tiktok.com/@maznajazila,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b91ec4d0e7b4a031eb5ae4b59a52604a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1c9808bf&x-expires=1755824400&x-signature=honPQkLhQgesyd0XCJy%2FaKziPeU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,maznajazila,aku dapet harga 25,9/26/2024,5,,,,,,,,,,,
