css-9pu1vy-StyledUserLinkAvatar href,css-11j0z2t-ImgAvatar src,css-1uxwbtk-SpanUserNameText,css-z35s28-PCommentText,css-ckdg7w-SpanCreatedTime,css-1fhml0h-SpanCount,,
https://www.tiktok.com/@varff0zzh,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/fda0efe7615a2181aabcf0e9d26d01f3~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d9848e99&x-expires=1755831600&x-signature=xTnQVDf%2FFu2frqq3D4gT6WtZl9k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,…,aku pernah makan itu kak beli di Bandung tapi gk tau di mana lupa kalo gk salah di Bandung ada coklat pedes jga di sana😁🥰,7/27/2021,1,,
https://www.tiktok.com/@anisacahyaniiii,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/95555cccede1416c3ba75a9b02519349~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=bfd8d927&x-expires=1755831600&x-signature=0BNIX19yjlLCVLwseo69ley4Q2I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,anisacahyani2007,dan coklat merk ayam pun terlupakan,7/29/2021,1,,
https://www.tiktok.com/@restiyana617,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7329923613547560961~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=34ca7a8a&x-expires=1755831600&x-signature=%2BN6sexrUDKArb9dC5JHpVJs%2B5Po%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,ooo,yang blom pernah kita sama 😁,8/10/2021,1,,
https://www.tiktok.com/@bukaneditor617,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-aiso/bc0b39240b84a394ee1ac8c62fa9246b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=030257e0&x-expires=1755831600&x-signature=TVSyL3hFENVKd2pphTM4jYh8gTI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,✨inisial R🦋✨🇮🇩,abng sering fyp 🥺,8/3/2021,1,,
https://www.tiktok.com/@nur_hasriainun_,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3360b400addd87c30d2408bb32f67fd5~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=b4243944&x-expires=1755831600&x-signature=1CyfXvK4IGdKt%2BL8XFZd9t5P77Q%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,ainun,kak iam pasfonya 😁,7/27/2021,2,,
https://www.tiktok.com/@kriwnai_putt,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a175d2b1f30bf0f30ed6dd77ee9515ce~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=327ac950&x-expires=1755831600&x-signature=EZ7wCBNjAPqz%2BBOb0XNbyOmx%2BZk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,29,enak bangettt apalagi yg besar aku pernah beli waktu ke Garut 🤤,7/27/2021,1,,
https://www.tiktok.com/@rnaprllia,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/76528c72dcaddd19e3e6165baf821579~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0b19252d&x-expires=1755831600&x-signature=nJ3NSPQd3pILjgD77R1mS4kR05o%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,r̮ena dipukul nangis,minta satu 😂,8/26/2021,1,,
https://www.tiktok.com/@thep3rs0on,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b1b30630b7a7787756cab55fd0f62714~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=5baac182&x-expires=1755831600&x-signature=8elRxeIs35KVZh4VX26unmILOSI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,🌊,ka coba makan oreo sama es krim,8/1/2021,1,,
https://www.tiktok.com/@taffanimesiasaurora,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/404b026c33d519c7d48214890f7ba524~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=dd40a589&x-expires=1755831600&x-signature=xd%2BP1%2BDuKBvyXe3MXC3V7Mz%2F5rA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Aurora乂𝐑𝐎𝐁𝐋𝐎𝐗𝐒𝐎𝐅𝐓,aku pernah nyoba Di cirebon,7/26/2021,1,,
https://www.tiktok.com/@azaaaaaaaaa___,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f0b09363cde846b188eb95425c3d4dd3~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c1b5dc9e&x-expires=1755831600&x-signature=LsZ6%2Br0WI5wjQ52Sj4b96Z%2Fd%2FDo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,🌸🌸,harganya berapa,7/28/2021,1,,
https://www.tiktok.com/@niiarhmdni,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/25bf8d9e52761fa46afcaf94461dcd02~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c29ac93a&x-expires=1755831600&x-signature=p5MbWh%2F06roTDZv%2F7pADXMrmW1A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,nia.,hay ka,7/26/2021,1,,
https://www.tiktok.com/@pp91290,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/e15a782a3e67363aff888aad12edd72c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8f576766&x-expires=1755831600&x-signature=fiteXsfeelRaGzpPtnhkj7svEsI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,apalooohhh❕,kak 24 jam makan daging kurban,7/27/2021,1,,
https://www.tiktok.com/@iirmaajaa,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3d989e302301ad7e8c8d6ed192b55bb4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9f0d3b6a&x-expires=1755831600&x-signature=wU4Kcanzc4pnb7bi%2F4JVX9GTSRo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,𝐼𝓇𝓂𝒶,jadi sound cefafff🥺,7/28/2021,1,,
https://www.tiktok.com/@sadewaaaaaa04,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/bc7a10af57e2a312843d541f0c0889ea~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4a5f264b&x-expires=1755831600&x-signature=TncVThStN7nsfgKb%2BiEYmJgT0Qc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Sadewawewo,plis lagu kok yindir yindir orang uh 😏😏😏,7/26/2021,1,,
https://www.tiktok.com/@ayusariningtias,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7be60fcfb66cbf19f516b15b79a56f26~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=7a8dc211&x-expires=1755831600&x-signature=a5Q0SjRmgkcYy9B%2BwnklkNz8njs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,ayusarinintiyas,beli dima na kak,7/29/2021,1,,
https://www.tiktok.com/@lalunaayuu,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/7bc43c7c8309234688f78b79e6f28f29~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ec0de3ff&x-expires=1755831600&x-signature=5IvPMPQNRrBFOxKnBp1ygDZj7L0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,@lalunaayu 07,itu berapaan kak,7/26/2021,1,,
https://www.tiktok.com/@iffxyyy,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/bd24422a6d2529df44650f7e0a6a9690~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=991fc03d&x-expires=1755831600&x-signature=JitgKGaQH9r1%2F8daKSRI19rM7e0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Iffaaaa,emang enak banget chocodot apalagi yang putih tapi kalo mau beli biasanya di tempat oleh oleh👍🏻😭,7/26/2021,11,,
https://www.tiktok.com/@.lilyflo_0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/50e1fa9ead50a6cc154d9aa5a165050a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=64faf006&x-expires=1755831600&x-signature=VC%2FXaZ16CzLdvfraZA2fcoOipWA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,𐔌՞. .՞𐦯,apana lu,7/28/2021,0,,
https://www.tiktok.com/@maisamayy,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ff3997c34770f9e71d00e912b18144d1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=15414ecd&x-expires=1755831600&x-signature=RekWbLELmu16vvFNcbFtu8Aav6s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,ᴍᴀʏ.αℓмαуяα,"fokus sama coklatnya❌
fokus sama soundnya✅
😂😂😂😂",7/28/2021,0,,
https://www.tiktok.com/@asap____nct,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b66eaf37f14b7a179cce27cb6be871ed~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c9f6d286&x-expires=1755831600&x-signature=lmpwv6huRMGa1Eje9%2BqfiXoxS5U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,nct,yang biru,8/28/2021,0,,
https://www.tiktok.com/@supersollllll,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4dd4f530f03be5926c983461b09e92b6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=b6b90241&x-expires=1755831600&x-signature=hV9C4ZOMBZbDs6gT%2B1e3l%2B85nCw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,super sol,inget waktu SMK pernah jualan coklat garut🥰krna emng aku asli grt hehe.,7/28/2021,0,,
https://www.tiktok.com/@azzeng_,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6979cf924a9a32ebb2c1cab509d4b278~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e17692cc&x-expires=1755831600&x-signature=l8b2vNZjXQBESj6r45dz30jLX5E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,8,ka coba makan kimci 10,7/27/2021,1,,
https://www.tiktok.com/@yasminfirdakumala42,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/c23073109235c048ae6ff49dae45bbfb~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f5a95869&x-expires=1755831600&x-signature=vgqr%2FsrpUhsRxvHY187cANOesAc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,yfk,harga nya berapa? kak,9/28/2021,0,,
https://www.tiktok.com/@zunamrno,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2e396780d7040e6552213ef431ede06a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=32860fd6&x-expires=1755831600&x-signature=RPJvfGUcomi93pdiDuEORW9eR%2BI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,junjun,CokIat chocodot,8/10/2021,0,,
https://www.tiktok.com/@jak4ofw,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/a5b36262b0762d6838921623cdd4994c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f4b5ac28&x-expires=1755831600&x-signature=W1TOIPJetop9R8RCsRqqUlD8fBM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,jehyunnn,Aku pernah makan itu chocodot nya,8/23/2021,0,,
https://www.tiktok.com/@cahsukoharjo25,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ab5cf24ad20e117f84466cf0659f2cfd~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=963c9ab1&x-expires=1755831600&x-signature=Y2SqCASUpCcJwqxekwDBwK31V7g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Aku Jowo😋,bang tolong makan permenkaret jadul plissss,9/16/2021,0,,
https://www.tiktok.com/@fedroginting928,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7334078018828107783~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=33cdad41&x-expires=1755831600&x-signature=Cyi6MmrKb51tHbpW2Vn7AZPzYcM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,fedroginting928,ula kari ku entek ko je ptt,7/29/2021,0,,
https://www.tiktok.com/@orgdoom,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a868793785e550bcdf741163b5c42a7d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ea1e351a&x-expires=1755831600&x-signature=kAA1rlXP61Ax5jMPjGVWpduWeuc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,orgrandom_-,gw suka beli ada di gramedia dulu😁,8/30/2021,0,,
https://www.tiktok.com/@my_skill08,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/cf160c72a78d6928298e4c62bcec1b94~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=149e19d3&x-expires=1755831600&x-signature=NYRagTIUsllUPSvSi89nH5o5nMk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,sanggar yasmine,jujur lucu banget coklat nya mini aa pengen ambil,7/28/2021,0,,
https://www.tiktok.com/@id.cokelat,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3650b104f0ab3b69ffc37c4696ebac0a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=be8e4fb4&x-expires=1755831600&x-signature=O2eRf%2BIn0hrcgsXNJqUdDeKiNRo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,id.cokelat,"hai ka, mampir ke tokoku ya lagi ada promo coklat buy 1 get 1 🥰",1/28/2022,0,,
https://www.tiktok.com/@mohirfar,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/0f8f46b12046d8ecd2aa848fba7b2eb2~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e6b347bd&x-expires=1755831600&x-signature=W36S9ZVFe%2Fa%2BozOQ37VoHahpPm0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Irfan,mau iih namanya apa kak,8/25/2021,0,,
