x1i10hfl href,xpdipgo src,_ap3a,x1i10hfl href 3,x1ejq31n,x1lliihq,x1lliihq 2,x1lliihq 6,source,x193iq5w,xdj266r,xz74otr src 2,x1i10hfl 2,x1i10hfl href 5,yt-simple-endpoint href,style-scope,yt-simple-endpoint,yt-simple-endpoint href 2,yt-core-attributed-string,css-1jxf684,css-175oi2r href,css-9pa8cd src,css-175oi2r href 2,css-1jxf684 2,css-1jxf684 3,css-146c3p1,css-1jxf684 4,css-146c3p1 href,css-1jxf684 5,css-175oi2r href 4,css-1jxf684 8,css-1jxf684 12,css-9pu1vy-StyledUserLinkAvatar href,css-11j0z2t-ImgAvatar src,css-1uxwbtk-SpanUserNameText,css-z35s28-PCommentText,css-ckdg7w-SpanCreatedTime,css-9pu1vy-StyledUserLinkAvatar href 2
https://www.instagram.com/by.potretmenu/,https://scontent-cgk2-1.cdninstagram.com/v/t51.2885-19/517154601_18515838295063684_1440107874560256468_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk2-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QFE8T6hGO2Vqqb43ifqWfsjqn2xpkCA02m7kGEEiAkO8_vCCGHJ7gYnYsZqWDG_tZA&_nc_ohc=GqQa8o2slkkQ7kNvwFlkEFi&_nc_gid=5-PLvc40qkWigfEh0mMUXA&edm=AA5fTDYBAAAA&ccb=7-5&oh=00_AfW-trvOl174SR-DoJJyHipL-yC9FGIXoSReucswveUoVA&oe=68B1C9EF&_nc_sid=7edfe2,by.potretmenu,https://www.instagram.com/p/CF_A6pKhMIh/c/17845480412399017/,254 ming,Wah unik nya,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/captain_kuliner/,https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/343292258_564881658962623_1503933421024217577_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFlO97ZHHYC5MxZ-wSXOjYmttgRX2gw1NuXM6rxhRoCxZMOZAbReqFlkyTKsd4jH78&_nc_ohc=NVtXhqrG0ZsQ7kNvwGN4TPq&_nc_gid=nWwldBVDbLd5oGphDp3HNQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfViIN78HkbO0kiQeWLrhVZeFpjr2klrdyaaMcebGdSSmQ&oe=68B197F4&_nc_sid=10d13b,captain_kuliner,https://www.instagram.com/p/CF_A6pKhMIh/c/17865760070086296/,254 ming,Belum pernah coba ini😍,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/lakitavas/,https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/463014964_1510465479608096_2579242513822902829_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QFlO97ZHHYC5MxZ-wSXOjYmttgRX2gw1NuXM6rxhRoCxZMOZAbReqFlkyTKsd4jH78&_nc_ohc=6g7UQjJxm5oQ7kNvwGGbE2h&_nc_gid=nWwldBVDbLd5oGphDp3HNQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfV5Pa9qc_x_GyspA-aJAONVADwy87ypea9SmfHfaj3k_Q&oe=68B1A40A&_nc_sid=10d13b,lakitavas,https://www.instagram.com/p/CF_A6pKhMIh/c/17961002200352745/,254 ming,Looks good ini jadi pingin,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/kuratorkuliner/,https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/139978092_161634812135938_6354269160142986208_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDU4LmMyIn0&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QFlO97ZHHYC5MxZ-wSXOjYmttgRX2gw1NuXM6rxhRoCxZMOZAbReqFlkyTKsd4jH78&_nc_ohc=EgPShDWeRCYQ7kNvwFF3OG-&_nc_gid=nWwldBVDbLd5oGphDp3HNQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfUyjm_gY8XPn8HZ3w98jKH1n2VIpZMu58SIDp0JsSaeMw&oe=68B1AD04&_nc_sid=10d13b,kuratorkuliner,https://www.instagram.com/p/CF_A6pKhMIh/c/17965365343341083/,254 ming,"Ini makanan khas sunda,  tapi jujur belum pernah coba 😁",1 suka,Balas,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/sekip_u2/,https://scontent-cgk2-2.cdninstagram.com/v/t51.2885-19/105355646_968952996858865_2845712455599577335_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4zMjAuYzIifQ&_nc_ht=scontent-cgk2-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QFlO97ZHHYC5MxZ-wSXOjYmttgRX2gw1NuXM6rxhRoCxZMOZAbReqFlkyTKsd4jH78&_nc_ohc=zswW50L8K-UQ7kNvwHlxP0F&_nc_gid=nWwldBVDbLd5oGphDp3HNQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfVqxLvL923NFsJz_mSs-wYWmVDXKGzpdhng2qjKKyNX9g&oe=68B1BB51&_nc_sid=10d13b,sekip_u2,https://www.instagram.com/p/CF_A6pKhMIh/c/17883040063810382/,254 ming,kalo si akuh favorite lupis ama klepon ka... tapi sekarang lagi nyari yg jual kue putu sepertinya lumayan susah juga,1 suka,Balas,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/pawon_torie/,https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/106298676_2639737086290839_7653047580991713110_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFlO97ZHHYC5MxZ-wSXOjYmttgRX2gw1NuXM6rxhRoCxZMOZAbReqFlkyTKsd4jH78&_nc_ohc=AVgXpILxjd4Q7kNvwGG597R&_nc_gid=nWwldBVDbLd5oGphDp3HNQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfVbIwruOM8X2UPbppV0YkZX7CDTsSiweLerz6_Sf_NtLA&oe=68B1C22F&_nc_sid=10d13b,pawon_torie,https://www.instagram.com/p/CF_A6pKhMIh/c/18122495299087020/,254 ming,Rasanya gurih atau manis ka?,1 suka,Balas,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/irwanlo/,https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/528644671_18523590355046939_5767786339486958008_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QFlO97ZHHYC5MxZ-wSXOjYmttgRX2gw1NuXM6rxhRoCxZMOZAbReqFlkyTKsd4jH78&_nc_ohc=YOy0Mjy3IxcQ7kNvwFlQFes&_nc_gid=nWwldBVDbLd5oGphDp3HNQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfUhX4C8QL49Pa5assPltVh4KXFg33OTEdkOGZxlcO77xg&oe=68B1AC58&_nc_sid=10d13b,irwanlo,https://www.instagram.com/p/CF_A6pKhMIh/c/17976665668317327/,254 ming,Itu kamu ya mba? Kok beda sih skrg?,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/ellaurelia_/,https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/351050160_274006491660547_5280567239140301634_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDA3LmMyIn0&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFlO97ZHHYC5MxZ-wSXOjYmttgRX2gw1NuXM6rxhRoCxZMOZAbReqFlkyTKsd4jH78&_nc_ohc=gJEOqCfnylIQ7kNvwFAMaio&_nc_gid=nWwldBVDbLd5oGphDp3HNQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfWIDgb9amITGEbSHe48d_EHJshAFOWU46yHM5FlsIueBg&oe=68B1BB7C&_nc_sid=10d13b,ellaurelia_,https://www.instagram.com/p/CF_A6pKhMIh/c/17911911130483777/,254 ming,Jd pengen cobaa!,1 suka,Balas,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/makansamoais/,https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/131907588_438581107166791_1827661505280171224_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4zMjAuYzIifQ&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFlO97ZHHYC5MxZ-wSXOjYmttgRX2gw1NuXM6rxhRoCxZMOZAbReqFlkyTKsd4jH78&_nc_ohc=bJcAzdXiYCsQ7kNvwEHakkW&_nc_gid=nWwldBVDbLd5oGphDp3HNQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfXVcXXT23Lky4Vr2RcZHQ_qZ3mMFtFEZoyPwSYVBV5kJw&oe=68B1BF1A&_nc_sid=10d13b,makansamoais,https://www.instagram.com/p/CF_A6pKhMIh/c/17852851574319105/,254 ming,Aku belum pernah coba nih teh,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/re_vanisa/,https://scontent-cgk2-1.cdninstagram.com/v/t51.2885-19/328319068_186963090637359_1821034858706633786_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44ODQuYzIifQ&_nc_ht=scontent-cgk2-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QFlO97ZHHYC5MxZ-wSXOjYmttgRX2gw1NuXM6rxhRoCxZMOZAbReqFlkyTKsd4jH78&_nc_ohc=ArtHqHxoa_8Q7kNvwHYOTtR&_nc_gid=nWwldBVDbLd5oGphDp3HNQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfUfOFDn9Sy009GFQD8ZbPMuZJChd3CgnI8uTMOyB1mlVg&oe=68B1C9B4&_nc_sid=10d13b,re_vanisa,https://www.instagram.com/p/CF_A6pKhMIh/c/18039263284272881/,254 ming,Mirip cucur ya ka?,Balas,Lihat terjemahan,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/cicikokokulineran/,https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/352426967_1284418095797431_651343415996839212_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFlO97ZHHYC5MxZ-wSXOjYmttgRX2gw1NuXM6rxhRoCxZMOZAbReqFlkyTKsd4jH78&_nc_ohc=zcTi2KoHJlcQ7kNvwHUUWHG&_nc_gid=nWwldBVDbLd5oGphDp3HNQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfW8iV4uopZRRxdYg_-yTUCFgB3mnZSdlf9v7yb0TOm35g&oe=68B1A54F&_nc_sid=10d13b,cicikokokulineran,https://www.instagram.com/p/CF_A6pKhMIh/c/17882203138809856/,254 ming,Minyak nya bersih bangettt 😍,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/cemilanmonic/,https://scontent-cgk2-1.cdninstagram.com/v/t51.2885-19/446214608_1471116343614448_3500598372684062801_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk2-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QFlO97ZHHYC5MxZ-wSXOjYmttgRX2gw1NuXM6rxhRoCxZMOZAbReqFlkyTKsd4jH78&_nc_ohc=4QIGBFoPM6UQ7kNvwEhZp2r&_nc_gid=nWwldBVDbLd5oGphDp3HNQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfUuN1a4pb2iGMkmER85xMkaxqdNuBYdtlEgKbws8A5IkQ&oe=68B1CD8C&_nc_sid=10d13b,cemilanmonic,https://www.instagram.com/p/CF_A6pKhMIh/c/17882147722787897/,254 ming,Wih apa nihh baru tau,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/celwithfood/,https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/119923025_658888321431275_8795193202923535450_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QFlO97ZHHYC5MxZ-wSXOjYmttgRX2gw1NuXM6rxhRoCxZMOZAbReqFlkyTKsd4jH78&_nc_ohc=FwgQRq4rS20Q7kNvwFmMatI&_nc_gid=nWwldBVDbLd5oGphDp3HNQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfVte4rMlAscmi7j18-GVyBcOLA3qKflibdk1Qg_U1Inxg&oe=68B1ADA2&_nc_sid=10d13b,celwithfood,https://www.instagram.com/p/CF_A6pKhMIh/c/17934182761412115/,254 ming,Apa ini kak? Baru tau,Balas,,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/mike_filbert/,https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/488875929_1239945091188643_4868386710046903194_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QGvnTJQUo1uGB58sBr_0fQSludDjEYR3W0HvJtyCICSNa7frh7ztyh_5K9ArFjFUm4&_nc_ohc=AtR134XdvWUQ7kNvwHWpePc&_nc_gid=5RrrWSGrSJgWVQucHIdqYw&edm=AKp6CbIBAAAA&ccb=7-5&oh=00_AfVFI1HA83H5BT2l5-XFCaE7yXAUJf4UHjJqeTG1DQihuA&oe=68B1AFAB&_nc_sid=d62176,mike_filbert,https://www.instagram.com/p/CF_A6pKhMIh/c/18039971581272130/,254 ming,asli ka aku gtau itu apa,1 suka,Balas,instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
