css-9pu1vy-StyledUserLinkAvatar href,css-11j0z2t-ImgAvatar src,css-1uxwbtk-SpanUserNameText,css-z35s28-PCommentText,css-ckdg7w-SpanCreatedTime,css-1fhml0h-SpanCount,,,,,,,,,,
https://www.tiktok.com/@lagondolagondo,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7326377534172430356~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=737b70c0&x-expires=1755828000&x-signature=5bcwNwKreqOCAd0tsSOLoat0zic%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,lagondo lagondo,A ke sulawesi bisa te,30-May,0,,,,,,,,,,
https://www.tiktok.com/@pelem_89,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d7ce0e79a8faf6460700d4736184fac3~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=3bdf49f5&x-expires=1755828000&x-signature=KNJWqwzeGrDNZZd6%2FTkmV%2Bl46r4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,🥭𝕻𝖊𝖑𝖊𝖒_89🥭,yng campur ada gk kk,8-Jul,0,,,,,,,,,,
https://www.tiktok.com/@wakijan931,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-euttp/b52a0144fed7aa10ec3489113f6657b3~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=fa2c9d34&x-expires=1755828000&x-signature=0%2BIkmrTKGJ%2FRFGBCq0B1rrQxggE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,duku manes,bang bisa di campur semua,16-Jun,0,,,,,,,,,,
https://www.tiktok.com/@niaramadani6502,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7322936724189872130~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1c2501be&x-expires=1755828000&x-signature=WNZWmCaeHQFkd5VMuXaQtDjY1uU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,wia,"Aa,,,wia peseun ya 1 kg tapi mau campur ,,berapa harganya",4-Jun,0,,,,,,,,,,
https://www.tiktok.com/@indra.raya6,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/bdc06d6d1ebf0f86dc7a0d89ec155d03~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=12613c9e&x-expires=1755828000&x-signature=YKB5ZDSTwCpm2BwVUipuBYbXna8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Indra Raya,bikin ngiler,9/10/2024,1,,,,,,,,,,
https://www.tiktok.com/@aku.dandiri.0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/140d7d413703f532a41aba35a89edaae~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ad9a1d42&x-expires=1755828000&x-signature=eShiCGNMkqzmo%2BLhHtXE6zA1%2BaY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,TRA44.COM,mau,16-May,0,,,,,,,,,,
https://www.tiktok.com/@madibutey,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6c1bb22b&x-expires=1755828000&x-signature=CeD2F4n9GfAg%2BylS6aI6Knf8w8s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,madibutey,buat jual lg bro,20-Jan,0,,,,,,,,,,
https://www.tiktok.com/@helda_mamoy,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cdd22432cfac0e50057f399ca6e63557~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ec7e02f2&x-expires=1755828000&x-signature=hwvXJhX5vBbdiaq28Yufn5aVDcU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Helda Mamoy,wajit 1kg ada berapa pcs ?,8/28/2024,1,,,,,,,,,,
https://www.tiktok.com/@crustoffdanil,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/53173568a8296ec0b2b7ac8f5bb6436e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=b4f9f524&x-expires=1755828000&x-signature=ctDT1bFxAi8gt0uKV9IKj%2BpUeIs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,jack'danil,PALING RENDAH YA?,11-Mar,0,,,,,,,,,,
https://www.tiktok.com/@umi.sharoh,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/bbe3c57467e83f913c3e9312f5b2fb74~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f9af3357&x-expires=1755828000&x-signature=hIyX5UUG1AcG%2BvxE%2F0rr5OGN5XA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Umi Sharoh,assalamualaikum aq kemarin dah pesan tadi nya harga 37 ribu jadi 43 ribu bang,26-Mar,0,,,,,,,,,,
https://www.tiktok.com/@hengky2591,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/94d3f6209d5e61292bb86a1cbebc69a1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0637895e&x-expires=1755828000&x-signature=L7xk7vlaDw7l4rEg2AtyqKliejg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Hengky,bisa kuat berapa hari bang dalam suhu ruangan,8/24/2024,1,,,,,,,,,,
https://www.tiktok.com/@pikopiko798,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d57b1fb752a95409952bfd792b4d6ed5~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=dc5847f8&x-expires=1755828000&x-signature=8qECTSFs3Cn2FtCFP23tEH1JQfM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,pikopiko798,"aq sll beli jenang,,,, aq suka banget",9/8/2024,1,,,,,,,,,,
https://www.tiktok.com/@mhr_variasi,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/32d5e1b936653701f27becc3c13d6e6c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ab80723a&x-expires=1755828000&x-signature=12h3DmmANGtX2G74qlm09%2BnQlyY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,MHR variasi🔥🔥,bng bisa gak kirim ke palembang,25-May,0,,,,,,,,,,
https://www.tiktok.com/@bunda.dewii8,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/67364d1dbf833db7c75f1b0db4eec30f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4fc9077a&x-expires=1755828000&x-signature=u4ukQPj26uGu25pXjg0NMAZ4cfs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,bunda dewii,berpa 1 bungus ya mas wajik sma dodol ya,3-May,0,,,,,,,,,,
https://www.tiktok.com/@bangg.jek4,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7310572743121289222~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f0f3beb9&x-expires=1755828000&x-signature=1uIwwWN8cLi0cxqEsPEgg9S86rw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Bangg Jek,itu odol apa odol yang lagi viral overload,16-Jun,0,,,,,,,,,,
https://www.tiktok.com/@bunga40675,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/114bdd62b7e995aa956a7339d1990654~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=264e80ca&x-expires=1755828000&x-signature=i5aOFn4ghjQ%2FSkpR9rQUkTUWzOc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Bunga,kesukaan akuh semua.,8/26/2024,4,,,,,,,,,,
https://www.tiktok.com/@wongblorosamin,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f64936ac3fc8cb7c2838b7eb80bcd44c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=47c3be70&x-expires=1755828000&x-signature=C5bp7r6w0IPttRCGY8Ijn0iO5dw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Romli,aku mau kak,8/23/2024,1,,,,,,,,,,
https://www.tiktok.com/@kuben185,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/20d3bde4d0b9e19cf6acf0aeaf52a923~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=28acabc8&x-expires=1755828000&x-signature=P9GvCcbc9p4KhWnHaCyCGpy2%2BGo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,suami tersayang,mau bg,19-Jan,0,,,,,,,,,,
https://www.tiktok.com/@dedeh8348,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a79fde2411af394c3593f70c18f1aebe~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=558202f8&x-expires=1755828000&x-signature=re3Ct6xhgKbRdeQc7e%2BDAFWdupc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,dedeh,mau tanya 35 teh 1 kl kk,11/16/2024,0,,,,,,,,,,
https://www.tiktok.com/@ozanzaidan,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/fac9313e46c78b21823512817ba85238~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=af1de38c&x-expires=1755828000&x-signature=x%2BqjNwK5i3w8egOWT2rQBhBQ764%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,ozanzaidan,1kg isi berapa tu k,31-Jan,0,,,,,,,,,,
https://www.tiktok.com/@hani68037,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e56e109ce9b22331dd21917b4a91d51c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e8c662af&x-expires=1755828000&x-signature=eq6xnYyXnXIYE4Ma%2BIR6GwVIsfE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,hani,mahal ke ongkir bang,25-Jun,0,,,,,,,,,,
https://www.tiktok.com/@dwijaya173,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6166aeafe14d313449dcc667f5eb6d40~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=fab3a06f&x-expires=1755828000&x-signature=4o88J5nPG8PbOv4Ugd5zIjJM9qY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Dwi jaya audio,enak dodol itu...klo ke Madura selalu beli,24-Jan,0,,,,,,,,,,
https://www.tiktok.com/@endangsuwarn,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e87f4387dcebf645693419a80d589552~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0a313806&x-expires=1755828000&x-signature=4x9s7AQbPuxZMK1qMk2Cet9Unbs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,user7753384086319,dodol Pelangi berapa Kak,9-Jul,0,,,,,,,,,,
https://www.tiktok.com/@thggg226,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6c1bb22b&x-expires=1755828000&x-signature=CeD2F4n9GfAg%2BylS6aI6Knf8w8s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,thggg,ini pesanan ku sudah sampai nanti pas buka puasa baru di makan smoga enak,13-Mar,0,,,,,,,,,,
https://www.tiktok.com/@sasaajah4,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/21decd28095d443c3a2f8218970bc461~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0ef008c4&x-expires=1755828000&x-signature=hn2tfS2gFmZxUr9rqbZ8TIXnCO4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,sasa ajah,sy liat jadi 50 rbu bang,26-Apr,0,,,,,,,,,,
https://www.tiktok.com/@syakiraptri_,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/73b6c08491b5842f96b0b0697a36bb74~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a15e4df5&x-expires=1755828000&x-signature=pnaI76948vzaXQuMVZjCf8Eurjc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Syakiraa,Bang keranjang kuning wajitnya gaada ya?,26-Mar,0,,,,,,,,,,
https://www.tiktok.com/@widyasalon01,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/31feacb0d6dbd8409d93ecc8f83339be~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f27ff755&x-expires=1755828000&x-signature=TYjwMZVLUJ6HbpPOPhJ39PPqbiA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Widya Gomez,dodol buah y gada di krnjang sih,8/23/2024,3,,,,,,,,,,
https://www.tiktok.com/@aviq_aziz,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5cc8bd9101dd10f884f1f0d283eb8f23~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a13dac73&x-expires=1755828000&x-signature=GW9i89VWl0xFjgq4KpIyz%2BAb8Nw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,aziz aziz,ongkirnya mahal baget kak,26-Mar,0,,,,,,,,,,
https://www.tiktok.com/@encopsopiati,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6c1bb22b&x-expires=1755828000&x-signature=CeD2F4n9GfAg%2BylS6aI6Knf8w8s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,encop sopiati,yg plangi brapa hargany,15-Mar,0,,,,,,,,,,
https://www.tiktok.com/@iinjuanda,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4240bb7a3ed350aae2624977385a0e46~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e71289db&x-expires=1755828000&x-signature=0zDAQqwtZphfNNNCBLRR1%2FuGLpM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Iin Juanda,cara peseny gmn ea,12-Mar,0,,,,,,,,,,
https://www.tiktok.com/@kesayanganmu099,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d716352563af6ccbd004d35f561de858~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f8301f35&x-expires=1755828000&x-signature=nv8HgXqKsLS28SRjk4Dda5L8ueI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Baby keyzio 💕🤡,ongkir nya mehong 😭😭😭,2-Jan,0,,,,,,,,,,
https://www.tiktok.com/@driver_muda349,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d511bb5e5f7a320ff13ded35fd5242b0~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=998049d7&x-expires=1755828000&x-signature=dRSRHlNmU%2BTaMOKUe6qvbFI5%2FkM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,พระภิกษุในอนาคต,kalo ke pengiriman ke kalimantan masih awet gak bang,22-Jan,0,,,,,,,,,,
https://www.tiktok.com/@ikyyudha,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/bec913bb9912a81908a42d973c6bdfa9~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d3511e2c&x-expires=1755828000&x-signature=z5ThRfIrUz7nVAEfBbbs3D3m55A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Rizki yudha,emm di aku 25k sekilo di penjarahan,22-Jun,0,,,,,,,,,,
https://www.tiktok.com/@mams_ara,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/377e58d9d539620f579f9a7b41631ec8~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a8eee6d6&x-expires=1755828000&x-signature=YEFo%2BHIrFiHorZxmV58UV%2F8ZgVk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Neng Adhelia,mau tapi sama harganya sama ongkirnya,12/31/2024,0,,,,,,,,,,
https://www.tiktok.com/@pisangsalelira2pl,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/71b7a85cb9fe27403dc0d7e11b1917f7~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=7c676857&x-expires=1755828000&x-signature=wuP%2B5cZWLYjrpno13fm32cM%2FZfQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Pisang Sale Lira 2 PL,AA sy pingin pesan wajik nya ke padang,9/7/2024,1,,,,,,,,,,
https://www.tiktok.com/@tuti.erawati8,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e610d335372a7a3fe8591ee427ac9d0a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=964cdfac&x-expires=1755828000&x-signature=7R7oefzKszTqFcK1EFrTIVwJaK0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,tuti erawati,abdi urang Garut tp nju merantau di kalimantan,13-Jan,0,,,,,,,,,,
https://www.tiktok.com/@wokawoka03,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e72f5457787f0633b8227dbb956c909c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=3d10d3e2&x-expires=1755828000&x-signature=i4SvgfmgeErYQ7fGGY9Rqo0712s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,bajuri,itu dodol zebra 1 plastik 1 kg bang?,9/9/2024,1,,,,,,,,,,
https://www.tiktok.com/@user505202201,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7301656548089004038~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a29283d3&x-expires=1755828000&x-signature=RH5Gw3lpnqJdp2s0wKbS09TwtNs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,sarah,aku mau wajit nya yg kuning yg bungkus nya pake daun jagung brp,9/21/2024,0,,,,,,,,,,
https://www.tiktok.com/@rezasanjaya91,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9c9b4146ca5628d838b820d87dd65830~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=5e8d601b&x-expires=1755828000&x-signature=QNzX0oG8NaOh7Fq8rnuguRAcua0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Reza Sanjaya,jd inget dulu pas merantau mau pulang ke desa pasti bawa oleh² aku seperti ini buat oleh² kluarga di desa,25-May,0,,,,,,,,,,
https://www.tiktok.com/@mohifan163,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7bd8923f278cf4660dd6c3da21d31bd2~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=066ba3e2&x-expires=1755828000&x-signature=54nUcAl5mjcYtse45cUMIH4yhdw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Moh Ifan163,yng dodol kemangi berapa satu kilunya,28-Apr,0,,,,,,,,,,
https://www.tiktok.com/@putri.aqilla1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/dd3afb6d29ab2dd02588f2338332da0a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=03dcc3fc&x-expires=1755828000&x-signature=uCzV33ThtoJGlEK8QgT1G4LOEW0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Putri AQilla,udah di buat pesanan ya bang dodol campur,14-Mar,0,,,,,,,,,,
