"style-scope src","yt-simple-endpoint href","style-scope","yt-simple-endpoint","yt-simple-endpoint href 3","yt-core-attributed-string","style-scope 3","yt-core-attributed-string 3"
"","https://www.youtube.com/@darentliem9120","@darentliem9120","4 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgzQd7ZPF6Zu4Aa9aRh4AaABAg","Nostalgia waktu dulu bang beaconcream bikin aku seneng waktu nangis","3",""
"","https://www.youtube.com/@feliciafelice2544","@feliciafelice2544","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugy1IaISRh6hGN2e2cB4AaABAg","Coklat ksh sayang ancur apakah itu alasan kak nelson selalu jomblo :v 
Coklat anti galau - buat move on (emang punya mantan ya ?)
Coklat enteng jodoh - bang....cowok kan ?? (Putih manis= manis masa pacaran, coklat agak pait= pait ketika putus wkwkwk)
Coklat makin cinta - CINTA SUBS SELALU NO 1 !!!!!!
ITU KOK ADA SUARA CEWEK .... PACAR BARU YAAAAA~~~ SIAPA ITU BANG ??
(semuanya cmn candaan doang)","19","6 balasan"
"","https://www.youtube.com/@alfiiyhz","@alfiiyhz","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugz4KilA4NR6-bTMaf94AaABAg","Semoga kak Nelson makin cepet-cepet punya jodoh...","7",""
"","https://www.youtube.com/@BTSARMY-cx3ce","@BTSARMY-cx3ce","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugw7Z40Uqg6ChHvYrVZ4AaABAg","Ahhhhh.... Jadi Baper liat kak nelsol jomblo jadi kasihan.","46","3 balasan"
"","https://www.youtube.com/@satriavicoc.3146","@satriavicoc.3146","6 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgxiZ9NycZ1tpdijaEh4AaABAg","Siapa yg disini jomblo :(:(:(","397","154 balasan"
"","https://www.youtube.com/@skybluex11","@skybluex11","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugwiy9NFuOfLXebpeFl4AaABAg","Bang buat build battle dong bareng 4brother","263","16 balasan"
"","https://www.youtube.com/@alurbiasa1403","@alurbiasa1403","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgwAp2_5Kbbp72JJPkZ4AaABAg","bang nelsoon gw rasa kalo vlog dirumah kayak bang erpan tepuk tangan nya","59","3 balasan"
"","https://www.youtube.com/@elsanih9706","@elsanih9706","5 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugwal2s4_yeM4qTzCIh4AaABAg",": mungkin coklat ini menunjukan bahwa kita harus muf on
Aku:emang bang BEACONCRAEM udah pernah pacaran ya","21","5 balasan"
"","https://www.youtube.com/@alekharalekhar8959","@alekharalekhar8959","4 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugz3axcEW3rupqdFJhV4AaABAg","kak nelson lucu lucu banget","1",""
"https://yt3.ggpht.com/ytc/AIdro_nMPoENrlXxWy1ahaoED2MDZ6RsxBbRwvK4y2JjnsAF6Ek=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@hagann2MP","@hagann2MP","5 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugxa9gXCwS2fw6phsbZ4AaABAg","amin","15",""
"https://yt3.ggpht.com/ytc/AIdro_ljdp0Fo9mh17280GGuj8mCmozf-OwAgFbPzq4-AlVJ-_c=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@RoyaleTime29","@RoyaleTime29","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgzC3-Z6r8vh3Ur1Kp54AaABAg","malam minggu Anti MainStream :v","33","3 balasan"
"https://yt3.ggpht.com/a3SXVZ7S0QWytHrXd14hZ-w3dUSJ89NzIul2CsA23uAUChK24uKvit1mc-8VFGTEp_L_1HwGmQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@hy-fz4jg","@hy-fz4jg","5 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgyyQEa8oPEK5hCNZop4AaABAg","Dan sampe sekarang Abang belom dapet jodoh dan sekarang 2020bang","229","75 balasan"
"https://yt3.ggpht.com/_lAgxQtfwtvs4xFT3weE8qJl3O9u406d0ZRKzvfvI4JcScsLy0YW9y7ki7tJNk6DCJO0BJ4MAeY=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@RieFunggi","@RieFunggi","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugz4UQXfLA8-EbXwD-d4AaABAg","Kak nelson buat series minecraft comes alive nanti di minecraft biar gak jojoba ,,,!! Ya tapi didunia nyata masih tetep mungkin  .                Mungkin jojoba   


Nanti biar kak nelson bisa milih cewek","75","5 balasan"
"https://yt3.ggpht.com/ytc/AIdro_nBENQuEVayWQ-rA6MvoalRg7Naw60xAl6vEfaQc4Vbu_li=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@nazwarahmawanti9967","@nazwarahmawanti9967","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgyZIftHDQAeNbL6wnp4AaABAg","Malming gagal diettt yooo ketahuan makan cocoa  kapan dietttt nangg ntar gendut lohh","42","2 balasan"
"https://yt3.ggpht.com/ytc/AIdro_m-Sk9j7AA75U-EicGACF-_-uPJmFchYzFmRp3p_D7cIg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@lunacraft7595","@lunacraft7595","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgzDDm4PUTVfajN6plV4AaABAg","SEMOGA CHENNEL BANG BEACON MAKIN SUKSES","80","8 balasan"
"https://yt3.ggpht.com/ytc/AIdro_mXLOhFahXrKkABKRRJYUu27J4xRRlsR8S5kziinFM=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@darentliem9120","@darentliem9120","4 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgzQd7ZPF6Zu4Aa9aRh4AaABAg","Nostalgia waktu dulu bang beaconcream bikin aku seneng waktu nangis","3",""
"https://yt3.ggpht.com/ytc/AIdro_lgT7czyDXT8WNwYu-Hs8FXTUdm0J6suQ8C12dSxQk=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@feliciafelice2544","@feliciafelice2544","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugy1IaISRh6hGN2e2cB4AaABAg","Coklat ksh sayang ancur apakah itu alasan kak nelson selalu jomblo :v 
Coklat anti galau - buat move on (emang punya mantan ya ?)
Coklat enteng jodoh - bang....cowok kan ?? (Putih manis= manis masa pacaran, coklat agak pait= pait ketika putus wkwkwk)
Coklat makin cinta - CINTA SUBS SELALU NO 1 !!!!!!
ITU KOK ADA SUARA CEWEK .... PACAR BARU YAAAAA~~~ SIAPA ITU BANG ??
(semuanya cmn candaan doang)","19","6 balasan"
"https://yt3.ggpht.com/TFWgTjh8tY56DL2L9Yq_hwexCUSsFzUl5XkRx6Ly-Yf8EKmJdsltBJws3iEErrbJBRTGbI6WR0Q=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@alfiiyhz","@alfiiyhz","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugz4KilA4NR6-bTMaf94AaABAg","Semoga kak Nelson makin cepet-cepet punya jodoh...","7",""
"https://yt3.ggpht.com/ytc/AIdro_mdnExMhHek4SGsvPUQaOQGkxWKYmtK2Y7SDzSil74WQQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@BTSARMY-cx3ce","@BTSARMY-cx3ce","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugw7Z40Uqg6ChHvYrVZ4AaABAg","Ahhhhh.... Jadi Baper liat kak nelsol jomblo jadi kasihan.","46","3 balasan"
"https://yt3.ggpht.com/ytc/AIdro_lbNoJC4VsyILXrYTBBxrCb2WaAlWUxnipGd88ZNJn0_Sw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@satriavicoc.3146","@satriavicoc.3146","6 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgxiZ9NycZ1tpdijaEh4AaABAg","Siapa yg disini jomblo :(:(:(","397","154 balasan"
"https://yt3.ggpht.com/rWGF4FHxLngK3T5HkUZw6uQoJz5PL8DLnWs_HNmh1RUEplNRidlYMzyLgrKNjbJL-pX-srB8wOE=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@skybluex11","@skybluex11","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugwiy9NFuOfLXebpeFl4AaABAg","Bang buat build battle dong bareng 4brother","263","16 balasan"
"https://yt3.ggpht.com/ytc/AIdro_ljWQLPwnxZZUnZiC1YNOSH8YlONgXTfxdoK4S7EYk=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@alurbiasa1403","@alurbiasa1403","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgwAp2_5Kbbp72JJPkZ4AaABAg","bang nelsoon gw rasa kalo vlog dirumah kayak bang erpan tepuk tangan nya","59","3 balasan"
"https://yt3.ggpht.com/ytc/AIdro_koWCCedWQ1WOqIfRbYQgmlY2GXww0OkROkHMhJtZ8nCZ4=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@elsanih9706","@elsanih9706","5 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugwal2s4_yeM4qTzCIh4AaABAg",": mungkin coklat ini menunjukan bahwa kita harus muf on
Aku:emang bang BEACONCRAEM udah pernah pacaran ya","21","5 balasan"
"https://yt3.ggpht.com/Pkh9bEgSULWyb338r4W-QHY8A4ljpf2PDzp1LmXD_jK6gsXPeaY5K1uKfhXI8gQm1l6S5xaWKG0=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@alekharalekhar8959","@alekharalekhar8959","4 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugz3axcEW3rupqdFJhV4AaABAg","kak nelson lucu lucu banget","1",""
"https://yt3.ggpht.com/ytc/AIdro_kMYi-ILdd5nwD9z7QBdYdZMMvEFajsMK56WFSjzoRGH4I=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@dzakyfwp3256","@dzakyfwp3256","7 tahun yang lalu (diedit)","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgxMCdWROHYGR9yF3dN4AaABAg","JoJoBa
adalah jomblo2 bahagia 
yg sebenernya tidak bahagia
dan sok cool aja hidupnya kayak gk ada masalah tapi di balik itu muehehehe","40","5 balasan"
"https://yt3.ggpht.com/K0xOf-Jnq-sBDfzi9Ch9wb5ycpL9U48YstCslK5O44jmvd9_ysRPMBdabqg2mFAhrdtF7mGu=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@skouskies","@skouskies","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugw6xjvW3XLPLCAE_XJ4AaABAg","selamat malming bang jojoba. semoga gak jomblo lagi biar abang gak jadi om om genit yang muncul dimalam minggu","5",""
"https://yt3.ggpht.com/ytc/AIdro_nT3lvmDGdNZ2ADWmUkU462tM0bIlZLkv0fRRXMHRPqFt0=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@sugengbudiyanto5333","@sugengbudiyanto5333","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgxzSeZ6jo30eSk3toZ4AaABAg","Gw jadi pingin coklat :v*","80","5 balasan"
"https://yt3.ggpht.com/IZ4AUls8HPS-tazEP27avyOHjELhUi2MCgBG_2c8bLW7nwNwRLnr6ak4r5TWg3xrqLGwR0Pf=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@JAGOANGS","@JAGOANGS","3 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgyMQ_X35nVRVIgMipx4AaABAg","Nostalgia","6",""
"https://yt3.ggpht.com/ytc/AIdro_lCgO2N2ooqrz6I1SIqcAoS2g4Xm4wPziWm5blSDRw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@hasanbrb7370","@hasanbrb7370","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugx3pKkFiSVL5YgsJ3V4AaABAg","Bang itu yang ngerekam cewek ya siapa bang plies jawab dong bang iya ga guys","49","15 balasan"
"https://yt3.ggpht.com/ytc/AIdro_nP1Z9fGRCfZLvrl5eNJWu9LVMYMtL0DK7Pjb_Asckp1Q=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@kartonovivo4817","@kartonovivo4817","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgyB3UaiG5ZJnb8yhyd4AaABAg","Siapa ngiler coy ama coklat ini","204","39 balasan"
"","https://www.youtube.com/@cixie_9123","@cixie_9123","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgwcP4it-NIX42e2PPh4AaABAg","Bang? Knp coklat? Gatau penderitaan cwe lg diet kah? tar ku jd gendut ku salahin kamu yha xD  *jk :v","154","16 balasan"
"","https://www.youtube.com/@Akellelelelelellelell","@Akellelelelelellelell","5 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgwFQonE5gO8VNQaFrZ4AaABAg","Nel req mukbang coklat 100% kakao coklat monggo","1",""
"","https://www.youtube.com/@GAMECHANNEL-ll4fy","@GAMECHANNEL-ll4fy","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgxT7oRqFmWOEpDd3G94AaABAg","Coklat anti miskin atau tambah miskin ya??? Soalnya kalo beli jadi tambah miskin","66","5 balasan"
"","https://www.youtube.com/@repacakep7903","@repacakep7903","6 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugxs-u6ThUbfA5fAFu94AaABAg","Itu Coklat Fav. Ku","9",""
"","https://www.youtube.com/@widi.hartanto1282","@widi.hartanto1282","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugz5zi92L_92nKeoGVp4AaABAg","BANG ITU SIAPA","147","47 balasan"
"","https://www.youtube.com/@jekyjeni2706","@jekyjeni2706","5 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgxSI3urChgqcHjwryV4AaABAg","Ada yg nyadar gk suara orang yg vidio in bang nelson kyk suara kak mutia safira","3",""
"","https://www.youtube.com/@afongmana7654","@afongmana7654","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgyhzJiO8rU1ws_cwaB4AaABAg&pp=0gcJCSMANpG00pGi","Kak di joogja. Juga ada coklat itu","4",""
"","https://www.youtube.com/@forstdark8809","@forstdark8809","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgwHvysQbXGK7IEFpst4AaABAg","Bang Sapa Yang Ngomong waktu Coklat rasa sayang nya hancur Kayaknya Suara Cewek ??? ;|","84","34 balasan"
"","https://www.youtube.com/@dzaky_prime4020","@dzaky_prime4020","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgySL9rzUsVOG95vLMx4AaABAg","Jadi pengen","15","2 balasan"
"","https://www.youtube.com/@tukijo1732","@tukijo1732","5 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgxhSZSB5dsHQoMXu1p4AaABAg","Aku pernah beli di garut arah nagreg banyak banget","1",""
"","https://www.youtube.com/@robokochan9486","@robokochan9486","7 tahun yang lalu (diedit)","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgyaS9flezwkKBqZubN4AaABAg","Nama Coklatnya Bikin Ngakak
Edit: Coba Ada Coklat Bikin Pintar Pelajaran MTK :v","9",""
"","https://www.youtube.com/@shayyengaming9266","@shayyengaming9266","6 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgzhoyDq13-n_leDf_t4AaABAg","Woi bantu bang nelson 2juta sucsriber plaisee","15",""
"","https://www.youtube.com/@fahmimaulana6220","@fahmimaulana6220","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgwGllwH6KFwoPheVBd4AaABAg","Bikin baper eh keceplosan bikin laper gitu","5",""
"","https://www.youtube.com/@karimlim1552","@karimlim1552","3 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgwDGfVwfdsQ5xGjXZ94AaABAg","Udah berkali-kali nonton ini tapi tetap ngakak","1",""
"https://yt3.ggpht.com/ytc/AIdro_knKl6L9st6GQPVLDEko8mz4mkDBrui4j6Ee98ptEiz8Gs=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@cixie_9123","@cixie_9123","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgwcP4it-NIX42e2PPh4AaABAg","Bang? Knp coklat? Gatau penderitaan cwe lg diet kah? tar ku jd gendut ku salahin kamu yha xD  *jk :v","154","16 balasan"
"https://yt3.ggpht.com/_gMtwMTMNMzuNy15A4_uE5KAX3qNXSFHhqiGIlwwrQg1UW03gQyf4xD5-QmUpGQja4NESKV9Ri4=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Akellelelelelellelell","@Akellelelelelellelell","5 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgwFQonE5gO8VNQaFrZ4AaABAg","Nel req mukbang coklat 100% kakao coklat monggo","1",""
"https://yt3.ggpht.com/ytc/AIdro_mrJM2aGfJbWRTEyf1jgIIIdXsMI52uc0myTCmtVppVtg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@GAMECHANNEL-ll4fy","@GAMECHANNEL-ll4fy","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgxT7oRqFmWOEpDd3G94AaABAg","Coklat anti miskin atau tambah miskin ya??? Soalnya kalo beli jadi tambah miskin","66","5 balasan"
"https://yt3.ggpht.com/ytc/AIdro_nHyRYtF5GQtYtkK3j6HympEcM7bT9T70Au4D2bngjWM4xk=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@repacakep7903","@repacakep7903","6 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugxs-u6ThUbfA5fAFu94AaABAg","Itu Coklat Fav. Ku","9",""
"https://yt3.ggpht.com/ytc/AIdro_kNNDEGsTaCRV4zLIS-PbXJNp1zauB_ZetJzNQ9wmvq06k=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@widi.hartanto1282","@widi.hartanto1282","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=Ugz5zi92L_92nKeoGVp4AaABAg","BANG ITU SIAPA","147","47 balasan"
"https://yt3.ggpht.com/ytc/AIdro_mFF-fLZVHnRgzKh9Ib81l6CL6cP5gX1RSMVe9f2-c=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@jekyjeni2706","@jekyjeni2706","5 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgxSI3urChgqcHjwryV4AaABAg","Ada yg nyadar gk suara orang yg vidio in bang nelson kyk suara kak mutia safira","3",""
"https://yt3.ggpht.com/ytc/AIdro_lqgW2YLQeESBuEmDglPo1gdRleQkvdxxdjGaAf-5f8fOM=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@afongmana7654","@afongmana7654","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgyhzJiO8rU1ws_cwaB4AaABAg&pp=0gcJCSMANpG00pGi","Kak di joogja. Juga ada coklat itu","4",""
"https://yt3.ggpht.com/ytc/AIdro_lr_JP4HLzKZjmlM1g6OXF6limo3rCrgC4KieAqWNMCOA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@forstdark8809","@forstdark8809","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgwHvysQbXGK7IEFpst4AaABAg","Bang Sapa Yang Ngomong waktu Coklat rasa sayang nya hancur Kayaknya Suara Cewek ??? ;|","84","34 balasan"
"https://yt3.ggpht.com/ytc/AIdro_nozhq2WgByaUee5PkzYrwKYI1-krLRyzt0G23f7bem9ic=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@dzaky_prime4020","@dzaky_prime4020","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgySL9rzUsVOG95vLMx4AaABAg","Jadi pengen","15","2 balasan"
"https://yt3.ggpht.com/ytc/AIdro_mcUd0oHCLMaqQEnRjQdOYn74_7-qzw6eVxHEOMLck=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@tukijo1732","@tukijo1732","5 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgxhSZSB5dsHQoMXu1p4AaABAg","Aku pernah beli di garut arah nagreg banyak banget","1",""
"https://yt3.ggpht.com/ytc/AIdro_kFQxsuLFLXTB8zcfHLO252ZUFP_iSZLeFs_P2fWH5V-w4=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@robokochan9486","@robokochan9486","7 tahun yang lalu (diedit)","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgyaS9flezwkKBqZubN4AaABAg","Nama Coklatnya Bikin Ngakak
Edit: Coba Ada Coklat Bikin Pintar Pelajaran MTK :v","9",""
"https://yt3.ggpht.com/ytc/AIdro_n8sWMg0PKHGFBYWBfyNaKSpY3SIKoTtfmq-z1B9_0=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@shayyengaming9266","@shayyengaming9266","6 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgzhoyDq13-n_leDf_t4AaABAg","Woi bantu bang nelson 2juta sucsriber plaisee","15",""
"https://yt3.ggpht.com/ytc/AIdro_lZUCO5Wl0l9FZ1yHhVCu3z00CYAPd97hLzsW4iPM8i-aQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@fahmimaulana6220","@fahmimaulana6220","7 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgwGllwH6KFwoPheVBd4AaABAg","Bikin baper eh keceplosan bikin laper gitu","5",""
"https://yt3.ggpht.com/ytc/AIdro_kr-n0MbimR7hp7HNHOM_ncP_gCkCOF3RBICwZk124=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@karimlim1552","@karimlim1552","3 tahun yang lalu","https://www.youtube.com/watch?v=R_zuNUC_xQY&lc=UgwDGfVwfdsQ5xGjXZ94AaABAg","Udah berkali-kali nonton ini tapi tetap ngakak","1",""
